57 timesteps needed to evacuate a building with 1 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1466 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 548 tenants (or 2740 ppl) per floor total
1468 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 549 tenants (or 2745 ppl) per floor total
1469 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 550 tenants (or 2750 ppl) per floor total
1470 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 551 tenants (or 2755 ppl) per floor total
1472 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 552 tenants (or 2760 ppl) per floor total
1473 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 553 tenants (or 2765 ppl) per floor total
1474 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 554 tenants (or 2770 ppl) per floor total
1476 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 555 tenants (or 2775 ppl) per floor total
1477 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 556 tenants (or 2780 ppl) per floor total
1478 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 557 tenants (or 2785 ppl) per floor total
1480 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 558 tenants (or 2790 ppl) per floor total
1481 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 559 tenants (or 2795 ppl) per floor total
1482 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 560 tenants (or 2800 ppl) per floor total
1484 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 561 tenants (or 2805 ppl) per floor total
1485 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 562 tenants (or 2810 ppl) per floor total
1486 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 563 tenants (or 2815 ppl) per floor total
1488 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 564 tenants (or 2820 ppl) per floor total
1489 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 565 tenants (or 2825 ppl) per floor total
1490 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 566 tenants (or 2830 ppl) per floor total
1492 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 567 tenants (or 2835 ppl) per floor total
1493 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 568 tenants (or 2840 ppl) per floor total
1494 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 569 tenants (or 2845 ppl) per floor total
1496 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 570 tenants (or 2850 ppl) per floor total
1497 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 571 tenants (or 2855 ppl) per floor total
1498 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 572 tenants (or 2860 ppl) per floor total
1500 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 573 tenants (or 2865 ppl) per floor total
1501 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 574 tenants (or 2870 ppl) per floor total
1502 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 575 tenants (or 2875 ppl) per floor total
1503 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 576 tenants (or 2880 ppl) per floor total
1504 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 577 tenants (or 2885 ppl) per floor total
1505 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 578 tenants (or 2890 ppl) per floor total
1507 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 579 tenants (or 2895 ppl) per floor total
1508 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 580 tenants (or 2900 ppl) per floor total
1509 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 581 tenants (or 2905 ppl) per floor total
1511 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 582 tenants (or 2910 ppl) per floor total
1512 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 583 tenants (or 2915 ppl) per floor total
1513 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 584 tenants (or 2920 ppl) per floor total
1515 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 585 tenants (or 2925 ppl) per floor total
1516 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 586 tenants (or 2930 ppl) per floor total
1517 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 587 tenants (or 2935 ppl) per floor total
1519 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 588 tenants (or 2940 ppl) per floor total
1520 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 589 tenants (or 2945 ppl) per floor total
1521 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 590 tenants (or 2950 ppl) per floor total
1523 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 591 tenants (or 2955 ppl) per floor total
1524 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 592 tenants (or 2960 ppl) per floor total
1525 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 593 tenants (or 2965 ppl) per floor total
1527 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 594 tenants (or 2970 ppl) per floor total
1528 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 595 tenants (or 2975 ppl) per floor total
1529 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 596 tenants (or 2980 ppl) per floor total
1531 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 597 tenants (or 2985 ppl) per floor total
1532 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 598 tenants (or 2990 ppl) per floor total
1533 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 599 tenants (or 2995 ppl) per floor total
1535 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 600 tenants (or 3000 ppl) per floor total
1536 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 601 tenants (or 3005 ppl) per floor total
1537 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 602 tenants (or 3010 ppl) per floor total
1539 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 603 tenants (or 3015 ppl) per floor total
1540 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 604 tenants (or 3020 ppl) per floor total
1541 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 605 tenants (or 3025 ppl) per floor total
1543 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 606 tenants (or 3030 ppl) per floor total
1544 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 607 tenants (or 3035 ppl) per floor total
1545 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 608 tenants (or 3040 ppl) per floor total
1547 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 609 tenants (or 3045 ppl) per floor total
1548 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 610 tenants (or 3050 ppl) per floor total
1549 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 611 tenants (or 3055 ppl) per floor total
1551 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 612 tenants (or 3060 ppl) per floor total
1552 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 613 tenants (or 3065 ppl) per floor total
1553 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 614 tenants (or 3070 ppl) per floor total
1555 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 615 tenants (or 3075 ppl) per floor total
1556 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 616 tenants (or 3080 ppl) per floor total
1557 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 617 tenants (or 3085 ppl) per floor total
1559 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 618 tenants (or 3090 ppl) per floor total
1560 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 619 tenants (or 3095 ppl) per floor total
1561 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 620 tenants (or 3100 ppl) per floor total
1563 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 621 tenants (or 3105 ppl) per floor total
1564 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 622 tenants (or 3110 ppl) per floor total
1565 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 623 tenants (or 3115 ppl) per floor total
1567 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 624 tenants (or 3120 ppl) per floor total
1568 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 625 tenants (or 3125 ppl) per floor total
1569 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 626 tenants (or 3130 ppl) per floor total
1571 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 627 tenants (or 3135 ppl) per floor total
1572 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 628 tenants (or 3140 ppl) per floor total
1573 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 629 tenants (or 3145 ppl) per floor total
1575 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 630 tenants (or 3150 ppl) per floor total
1576 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 631 tenants (or 3155 ppl) per floor total
1577 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 632 tenants (or 3160 ppl) per floor total
1579 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 633 tenants (or 3165 ppl) per floor total
1580 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 634 tenants (or 3170 ppl) per floor total
1581 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 635 tenants (or 3175 ppl) per floor total
1583 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 636 tenants (or 3180 ppl) per floor total
1584 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 637 tenants (or 3185 ppl) per floor total
1585 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 638 tenants (or 3190 ppl) per floor total
1587 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 639 tenants (or 3195 ppl) per floor total
1588 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 640 tenants (or 3200 ppl) per floor total
1589 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 641 tenants (or 3205 ppl) per floor total
1591 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 642 tenants (or 3210 ppl) per floor total
1592 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 643 tenants (or 3215 ppl) per floor total
1593 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 644 tenants (or 3220 ppl) per floor total
1595 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 645 tenants (or 3225 ppl) per floor total
1596 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 646 tenants (or 3230 ppl) per floor total
1597 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 647 tenants (or 3235 ppl) per floor total
1599 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 648 tenants (or 3240 ppl) per floor total
1600 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 649 tenants (or 3245 ppl) per floor total
1601 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 650 tenants (or 3250 ppl) per floor total
1603 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 651 tenants (or 3255 ppl) per floor total
1604 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 652 tenants (or 3260 ppl) per floor total
1605 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 653 tenants (or 3265 ppl) per floor total
1607 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 654 tenants (or 3270 ppl) per floor total
1608 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 655 tenants (or 3275 ppl) per floor total
1609 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 656 tenants (or 3280 ppl) per floor total
1611 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 657 tenants (or 3285 ppl) per floor total
1612 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 658 tenants (or 3290 ppl) per floor total
1613 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 659 tenants (or 3295 ppl) per floor total
1615 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 660 tenants (or 3300 ppl) per floor total
1616 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 661 tenants (or 3305 ppl) per floor total
1617 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 662 tenants (or 3310 ppl) per floor total
1619 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 663 tenants (or 3315 ppl) per floor total
1620 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 664 tenants (or 3320 ppl) per floor total
1621 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 665 tenants (or 3325 ppl) per floor total
1623 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 666 tenants (or 3330 ppl) per floor total
1624 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 667 tenants (or 3335 ppl) per floor total
1625 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 668 tenants (or 3340 ppl) per floor total
1627 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 669 tenants (or 3345 ppl) per floor total
1628 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 670 tenants (or 3350 ppl) per floor total
1629 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 671 tenants (or 3355 ppl) per floor total
1631 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 672 tenants (or 3360 ppl) per floor total
1632 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 673 tenants (or 3365 ppl) per floor total
1633 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 674 tenants (or 3370 ppl) per floor total
1635 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 675 tenants (or 3375 ppl) per floor total
1636 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 676 tenants (or 3380 ppl) per floor total
1637 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 677 tenants (or 3385 ppl) per floor total
1639 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 678 tenants (or 3390 ppl) per floor total
1640 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 679 tenants (or 3395 ppl) per floor total
1641 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 680 tenants (or 3400 ppl) per floor total
1643 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 681 tenants (or 3405 ppl) per floor total
1644 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 682 tenants (or 3410 ppl) per floor total
1645 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 683 tenants (or 3415 ppl) per floor total
1647 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 684 tenants (or 3420 ppl) per floor total
1648 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 685 tenants (or 3425 ppl) per floor total
1649 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 686 tenants (or 3430 ppl) per floor total
1651 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 687 tenants (or 3435 ppl) per floor total
1652 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 688 tenants (or 3440 ppl) per floor total
1653 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 689 tenants (or 3445 ppl) per floor total
1655 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 690 tenants (or 3450 ppl) per floor total
1656 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 691 tenants (or 3455 ppl) per floor total
1657 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 692 tenants (or 3460 ppl) per floor total
1659 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 693 tenants (or 3465 ppl) per floor total
1660 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 694 tenants (or 3470 ppl) per floor total
1661 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 695 tenants (or 3475 ppl) per floor total
1663 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 696 tenants (or 3480 ppl) per floor total
1664 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 697 tenants (or 3485 ppl) per floor total
1665 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 698 tenants (or 3490 ppl) per floor total
1667 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 699 tenants (or 3495 ppl) per floor total
1668 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 700 tenants (or 3500 ppl) per floor total
1669 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 701 tenants (or 3505 ppl) per floor total
1671 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 702 tenants (or 3510 ppl) per floor total
1672 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 703 tenants (or 3515 ppl) per floor total
1673 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 704 tenants (or 3520 ppl) per floor total
1675 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 705 tenants (or 3525 ppl) per floor total
1676 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 706 tenants (or 3530 ppl) per floor total
1677 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 707 tenants (or 3535 ppl) per floor total
1679 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 708 tenants (or 3540 ppl) per floor total
1680 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 709 tenants (or 3545 ppl) per floor total
1681 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 710 tenants (or 3550 ppl) per floor total
1683 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 711 tenants (or 3555 ppl) per floor total
1684 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 712 tenants (or 3560 ppl) per floor total
1685 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 713 tenants (or 3565 ppl) per floor total
1687 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 714 tenants (or 3570 ppl) per floor total
1688 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 715 tenants (or 3575 ppl) per floor total
1689 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 716 tenants (or 3580 ppl) per floor total
1691 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 717 tenants (or 3585 ppl) per floor total
1692 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 718 tenants (or 3590 ppl) per floor total
1693 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 719 tenants (or 3595 ppl) per floor total
1695 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 720 tenants (or 3600 ppl) per floor total
1696 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 721 tenants (or 3605 ppl) per floor total
1697 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 722 tenants (or 3610 ppl) per floor total
1699 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 723 tenants (or 3615 ppl) per floor total
1700 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 724 tenants (or 3620 ppl) per floor total
1701 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 725 tenants (or 3625 ppl) per floor total
1703 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 726 tenants (or 3630 ppl) per floor total
1704 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 727 tenants (or 3635 ppl) per floor total
1705 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 728 tenants (or 3640 ppl) per floor total
1707 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 729 tenants (or 3645 ppl) per floor total
1708 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 730 tenants (or 3650 ppl) per floor total
1709 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 731 tenants (or 3655 ppl) per floor total
1711 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 732 tenants (or 3660 ppl) per floor total
1712 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 733 tenants (or 3665 ppl) per floor total
1713 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 734 tenants (or 3670 ppl) per floor total
1715 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 735 tenants (or 3675 ppl) per floor total
1716 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 736 tenants (or 3680 ppl) per floor total
1717 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 737 tenants (or 3685 ppl) per floor total
1719 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 738 tenants (or 3690 ppl) per floor total
1720 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 739 tenants (or 3695 ppl) per floor total
1721 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 740 tenants (or 3700 ppl) per floor total
1723 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 741 tenants (or 3705 ppl) per floor total
1724 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 742 tenants (or 3710 ppl) per floor total
1725 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 743 tenants (or 3715 ppl) per floor total
1727 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 744 tenants (or 3720 ppl) per floor total
1728 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 745 tenants (or 3725 ppl) per floor total
1729 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 746 tenants (or 3730 ppl) per floor total
1731 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 747 tenants (or 3735 ppl) per floor total
1732 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 748 tenants (or 3740 ppl) per floor total
1733 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 749 tenants (or 3745 ppl) per floor total
1735 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 750 tenants (or 3750 ppl) per floor total
1736 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 751 tenants (or 3755 ppl) per floor total
1737 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 752 tenants (or 3760 ppl) per floor total
1739 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 753 tenants (or 3765 ppl) per floor total
1740 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 754 tenants (or 3770 ppl) per floor total
1741 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 755 tenants (or 3775 ppl) per floor total
1743 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 756 tenants (or 3780 ppl) per floor total
1744 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 757 tenants (or 3785 ppl) per floor total
1745 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 758 tenants (or 3790 ppl) per floor total
1747 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 759 tenants (or 3795 ppl) per floor total
1748 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 760 tenants (or 3800 ppl) per floor total
1749 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 761 tenants (or 3805 ppl) per floor total
1751 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 762 tenants (or 3810 ppl) per floor total
1752 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 763 tenants (or 3815 ppl) per floor total
1753 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 764 tenants (or 3820 ppl) per floor total
1755 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 765 tenants (or 3825 ppl) per floor total
1756 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 766 tenants (or 3830 ppl) per floor total
1757 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 767 tenants (or 3835 ppl) per floor total
1759 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 768 tenants (or 3840 ppl) per floor total
1760 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 769 tenants (or 3845 ppl) per floor total
1761 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 770 tenants (or 3850 ppl) per floor total
1763 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 771 tenants (or 3855 ppl) per floor total
1764 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 772 tenants (or 3860 ppl) per floor total
1765 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 773 tenants (or 3865 ppl) per floor total
1767 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 774 tenants (or 3870 ppl) per floor total
1768 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 775 tenants (or 3875 ppl) per floor total
